120000	What is the difference between procedural and object oriented programming ?
120001	What do you need to produce tea ?
120002	What do I need to produce ?
120003	Does Donald Trump know his hair and and skin doesn't look good ?
120004	Has anyone told Donald trump his hair looks terrible ?
120005	What are the good government colleges other than IITs and NITs to do an M.Tech in electrical engineering (I have a GATE 2015 score of 314 and my category is SC) ?
120006	I got A.I.R 762 and a score of 417 in biotechnology GATE 2015 general category . What are my chances in IITs , NITs and other institutes ?
120007	How do I avoid over thinking about myself ?
120008	How can I avoid over thinking ?
120009	What kind of work/role can a data scientist expect in design consultancy firms like IDEO or Frog Design ?
120010	How does Maya Design compare to IDEO ?
120011	How can I get my suspended Amazon seller account reactivated ?
120012	Is it possible for a seller get unbanned from Amazon ?
120013	How do mounted file systems communicate to kernel in Linux ?
120014	What's it like having a sibling ?
120015	How do I learn music theory ?
120016	How can I learn music theory in a non-western way ?
120017	Does a late period mean I'm pregnant ?
120018	I had sex 2 month ago and I had my period for 2 days last month and this month I'm 2 weeks late . Could I be pregnant ?
120019	There's a girl who I am close too but we are just friends . I would like to take our relationship further any tips ?
120020	When will the offer letter of C-DOT be issued after campus placement ?
120021	How can I be like Tai Lopez ?
120022	How much does tai Lopez make ?
120023	How does poop taste ?
120024	How is poop tasting ?
120025	Spending on what is absolutely a waste of money ?
120026	How can I increase the quality , fashion , and age appropriateness of my wardrobe without over spending ? I am a 30-something professional but hate wasting money on clothes . What pieces should I splurge on and where can I save ?
120027	How do small company grow into a big company ?
120028	How can a small company grow big ?
120029	Is it possible to control bodily functions through the subconscious ?
120030	Is it possible to control my subconscious with my conscious mind ?
120031	Why don't the candidates ever campaign in Alaska and Hawaii ?
120032	Why haven't the candidates campaigned in Alaska & Hawaii ?
120033	Should I use WiFi or cellular data to minimize radiation coming out of my cell phone ?
120034	When I check my email on my phone using cellular data and there is no new mail , does that process consume any data ? Why ?
120035	What is the best dirty jokes ?
120036	What's the best dirty joke ?
120037	Are there any presentation methods that can show both the exact quantity of a sample group and the proportion of it to the entire sample size at once ?
120038	What are some sports with the fastest reaction times ?
120039	Which sport requires the fastest reaction time ?
120040	When does it make sense to use a Snowflake Schema vs. Star Schema in database design ?
120041	What is a star flake schema ?
120042	How can i recover from failure ?
120043	What is the best way to understand Fermat's Last Theorem ?
120044	What would it take to understand Wiles' proof of Fermat's Last Theorem ?
120045	How do I convert a pv diagram to a ts diagram ?
120046	How can one take a P-V diagram and transform it into a T-S diagram ?
120047	Why do liberals support abortion but oppose the death penalty ?
120048	Justice : What are the arguments in favor of capital punishment (death penalty) ?
120049	How can I get a job on Quora ?
120050	How do I study for GMAT in order to get 760 after studying for 3 months ?
120051	Can I study for GMAT in 2 months if I could give 3 hours of quality time in a day ?
120052	What are the best available smartphones gadgets ?
120053	My age is above17 but less than 18 . I have applied for Indian passport under minor category upto age 18 . Will I be issued a passport of 5 year validity ?
120054	What's the best way to index/file your work so your co-workers can easily find it ?
120055	What is the difference between python scripting and python coding explain the difference with simple program ?
120056	How could degree programs in history prepare students better for careers ?
120057	What's the difference between a panic attack and a seizure ?
120058	What is the differance between seizure attack and panic attack ?
